NAME,host,b,plat,term,ex,c,eclosion
H1,Haw,0.004348536,0.03688536,36.82665,59.3609,0.2635511,67
H2,Haw,0.00335178,0.03889088,44.76304,73.85215,0.1710072,78
H3,Haw,0.00499753,0.03810275,28.76641,49.43897,0.2299979,59
H4,Haw,0.003198784,0.0375014,51.8144,74.35688,0.2110934,84
H5,Haw,0.003761626,0.03295347,51.51791,74.86438,0.2080877,85
H6,Haw,0.004685283,0.0447528,87.6864,107.3352,0.1625982,113
H7,Haw,0.005325411,0.05442486,37.32043,64.41599,0.2911879,72
H8,Haw,0.003063183,0.03402879,47.34456,69.68079,0.1708137,81
H9,Haw,0.004700819,0.03826125,46.4253,71.21914,0.2615169,77
H10,Haw,0.004578317,0.03188566,61.06365,83.02485,0.1733463,93
H11,Haw,0.003281858,0.03125458,49.68239,67.51912,0.1445295,81
H12,Haw,0.004381473,0.04497065,48.28104,75.54705,0.2210801,82
H13,Haw,0.006346474,0.04043547,22.84179,45.82825,0.1992963,54
H14,Haw,0.007680775,0.03771657,14.11709,34.41559,0.1809831,45
H15,Haw,0.003316421,0.03276878,42.78302,66.14845,0.2331715,75
H16,Haw,0.005650113,0.04698966,62.06996,95.88842,0.2212938,103
H17,Haw,0.003903933,0.03830319,27.4412,47.95616,0.1492143,58
H18,Haw,0.001842444,0.03207634,75.1942,96.29535,0.2302447,106
H19,Haw,0.002098702,0.0268264,42.36056,62.77317,0.1950445,74
H20,Haw,0.002824403,0.03489134,32.1895,53.46251,0.2147568,63
H21,Haw,0.001874701,0.03048384,57.57562,76.03813,0.1739206,88
H22,Haw,0.002664867,0.03279703,42.26005,63.83196,0.1987933,75
H23,Haw,0.002613912,0.03156545,56.2274,76.19548,0.1949095,87
H24,Haw,0.002115069,0.02549524,50.79643,68.06197,0.1672107,81
H25,Haw,0.003556879,0.03835644,73.8398,97.78247,0.2504501,107
H26,Haw,0.003266961,0.03251346,22.49653,42.72683,0.1705709,56
H27,Haw,0.002332448,0.02243314,46.30979,63.11346,0.1375714,70
H28,Haw,0.002271584,0.0241939,56.07886,72.82794,0.160399,87
H29,Haw,0.001690205,0.02837083,87.95183,108.0593,0.2981143,120
H30,Haw,0.002139077,0.02851358,42.42288,62.78534,0.1777712,75
H31,Haw,0.001843932,0.03149648,76.65342,95.69907,0.1715064,108
H32,Haw,0.005334917,0.04975206,47.36341,73.80021,0.279332,78
H33,Haw,0.01190803,0.05869815,45.59107,77.74541,0.4804026,79
H34,Haw,0.004091191,0.04180425,53.79889,84.45123,0.1324004,94
H35,Haw,0.002580986,0.0319305,34.42281,54.0947,0.1843455,63
A1,Apple,0.02696297,0.07177706,5.128122,34.23918,0.4220567,38
A2,Apple,0.005882137,0.03294836,16.55239,35.62551,0.156272,52
A3,Apple,0.01111365,0.04570877,2.55696,24.86907,0.2850481,33
A4,Apple,0.008447489,0.05514277,22.37836,48.05604,0.2976606,54
A5,Apple,0.01213167,0.05307304,2.331994,26.74608,0.2610392,33
A6,Apple,0.01334501,0.04945128,9.820193,32.67757,0.3463294,39
A7,Apple,0.009080334,0.03597633,9.47272,28.99221,0.2302589,38
A8,Apple,0.008914075,0.04213793,15.96762,35.91586,0.2032319,45
A9,Apple,0.009615121,0.04432996,8.969019,32.87735,0.3638924,39
A10,Apple,0.0211,0.03748307,0,12.9,0.1963767,20
A11,Apple,0.01334839,0.03625857,2.296197,20.00337,0.1978543,31
A12,Apple,0.006683306,0.03664311,9.729635,28.78817,0.1356068,43
A13,Apple,0.003274923,0.03179388,27.53585,43.96819,0.1519963,58
A14,Apple,0.006237079,0.04106802,16.48345,36.53069,0.2055281,47
A15,Apple,0.009906693,0.05903819,15.86272,41.39879,0.2465174,48
A16,Apple,0.004394669,0.04908456,36.75255,61.9651,0.2679568,62
A17,Apple,0.01427495,0.03966301,2.676225,23.96051,0.3386082,31
A18,Apple,0.004356724,0.04733377,35.87427,58.22308,0.2476687,62
A19,Apple,0.003059707,0.03033803,3.435964,21.56908,0.1765101,35
A20,Apple,0.009272518,0.0412923,5.531889,27.74772,0.2496484,37
A21,Apple,0.00735105,0.03956934,12.55478,32.53851,0.1757924,44
A22,Apple,0.00376303,0.05327058,41.34471,70.95007,0.2332051,78
A23,Apple,0.003249515,0.03622711,26.6895,48.2567,0.2748001,57
A24,Apple,0.004120904,0.03536625,22.93081,43.41205,0.2246146,53
A25,Apple,0.01226841,0.06918484,14.8959,37.74689,0.1760156,45
A26,Apple,0.005625071,0.06359208,24.52778,48.79878,0.2539918,56
A27,Apple,0.003307386,0.04364097,36.80357,60.0048,0.2253404,62
A28,Apple,0.006353074,0.05477905,25.906,51.35884,0.1961281,57
A29,Apple,0.00941704,0.05354618,10.01754,34.4117,0.5458898,39
A30,Apple,0.01263865,0.04456704,9.398469,34.55228,0.1993992,42
A31,Apple,0.003577969,0.03924974,38.79771,61.86186,0.2464037,68
