number of events,Date of event in YYYY-MM-DD format,,,,start of curbe military time,end of curbe military time,length of cube in hours,,,Address of the cube location,City of the event,State of the event,Total # of people that took the vegan message seriously,Total # of people that took the vegan message seriously for Andrew,Length of time stood in the cube for Andrew in hours,Total # of people that took the vegan message seriously for Cady,Length of time stood in the cube for Cady in hours
N,Date,Year,Month,Day,Time.Start,Time.End,Total.Time,Lat,Lon,Location,City,State,Total.Tally,Andrew.Tally,Andrew_Cube_Time,Cady.Tally,Cady_Cube_Time
1,2018-03-24,2018,3,24,16:00,18:00,2,30.318821,-81.660595,1025 Museum Cir,Jacksonville,Florida,,2,1,0,3
2,2018-04-28,2018,4,28,18:00,20:00,2,30.3139,-81.681084,1059 park st,Jacksonville,Florida,,8,1,0,2.5
3,2018-07-14,2018,7,14,18:30,21:30,3,25.790693,-80.132147,1650 Washington Ave,Miami,Florida,220,9,1,0,3
4,2018-08-01,2018,8,1,18:00,21:00,3,30.442086,-84.294597,116 Honors Way,Tallahassee,Florida,14,12,1,0,3
5,2018-08-12,2018,8,12,19:00,21:00,2,30.304104,-81.654989,1999 san marco blvd,Jacksonville,Florida,14,1,0.5,0,1
6,2018-09-01,2018,9,1,17:00,19:00,2,29.650775,-82.34284,Plaza of the americas,Gainesville,Florida,20,1,0,0,0.5
7,2018-09-08,2018,9,8,18:30,21:30,3,28.540821,-81.378954,155 South Orange Avenue,Orlando,Florida,158,6,0.25,0,2
8,2018-09-06,2018,9,6,19:00,21:00,2,30.442086,-84.294597,116 Honors Way,Tallahassee,Florida,29,8,0.5,0,1.5
9,2018-09-26,2018,9,26,12:00,15:00,3,29.650193,-82.34313,Plaza of the americas,Gainesville,Florida,23,12,0.5,0,0
10,2018-09-28,2018,9,28,19:00,20:00,1,29.6503,-82.323927,SE 1st st and 2nd ave,Gainesville,Florida,26,10,0,,
11,2018-09-29,2018,9,29,18:00,20:30,2.5,28.540821,-81.378954,155 South Orange Avenue,Orlando,Florida,48,8,0.5,,
12,2018-10-05,2018,10,5,18:30,21:30,3,30.432974,-84.290718,602 McDonnell Dr,Tallahassee,Florida,31,8,1,,
13,2018-10-13,2018,10,13,18:30,21:30,3,30.3139,-81.681084,1059 park st,Jacksonville,Florida,42,5,0.5,,
14,2018-10-20,2018,10,20,19:00,21:00,2,29.6503,-82.323927,SE 1st st and 2nd ave,Gainesville,Florida,54,13,0,,
15,2018-10-22,2018,10,22,18:30,21:30,3,30.442086,-84.294597,116 Honors Way,Tallahassee,Florida,27,13,0.5,,
16,2018-10-24,2018,10,24,11:15,13:15,2,29.650193,-82.34313,Plaza of the americas,Gainesville,Florida,14,14,0,,
17,2018-10-26,2018,10,26,19:00,21:30,2.5,29.6503,-82.323927,main and university,Gainesville,Florida,15,5,0.5,,
18,2018-10-27,2018,10,27,16:30,19:00,2.5,29.651878,-82.324924,main and university,Gainesville,Florida,19,2,1,,
19,2018-10-28,2018,10,28,14:00,16:00,2,29.6503,-82.323927,If it is cafe,Gainesville,Florida,18,2,0.5,,
20,2018-11-03,2018,11,3,13:30,15:40,2,29.650193,-82.34313,Plaza of the americas,Gainesville,Florida,22,2,0,,
21,2018-11-03,2018,11,3,19:00,22:00,3,30.3139,-81.681084,1059 park st,Jacksonville,Florida,77,2,1,,
22,2018-11-10,2018,11,10,18:30,21:30,3,27.960599,-82.441367,1600 E 7th Ave,Tampa,Florida,37,7,0.5,,
23,2018-11-26,2018,11,26,15:30,17:00,1.5,27.978847,-82.827506,Starbucks,Clearwater,Florida,13,7,0.75,,
24,2018-11-30,2018,11,30,17:30,19:00,1.5,28.443628,-81.469905,"8367 International Dr, Orlando, FL 32819-9300, United States",Orlando,Florida,26,8,0.15,,
25,2018-12-07,2018,12,7,18:30,21:30,2,27.771254,-82.636482,"Central Ave Between 2nd & 3rd St, ",St. Petersburg,Florida,18,1,0,,
26,2018-12-08,2018,12,8,20:00,22:00,2,30.3139,-81.681084,1059 park st,Jacksonville,Florida,53,4,0.15,,
27,2018-12-21,2018,12,21,19:00,20:00,1,27.960599,-82.441367,1600 E 7th Ave,Tampa,Florida,7,6,0,0,1
28,2019-01-11,2019,1,11,18:30,21:00,2.5,27.960599,-82.441367,1600 E 7th Ave,Tampa,Florida,34,5,0.15,,
29,2019-01-12,2019,1,12,20:00,22:00,2,30.3139,-81.681084,1059 park st,Jacksonville,Florida,60,5,0.15,,
30,2019-01-15,2019,1,15,17:30,20:00,2.5,29.6491,-82.3437,Turlington Plaza,Gainesville,Florida,28,11,0.5,,
31,2019-01-19,2019,1,19,17:00,19:30,2.5,29.894656,-81.312949,"102 Saint George St, Saint Augustine",St. Augustine,Florida,178,14,0,0,2.5
32,2019-01-23,2019,1,23,11:30,12:30,1,28.601613,-81.200713,4000 Central Florida Blvd,Orlando,Florida,20,4,0,0,1
33,2019-01-26,2019,1,26,18:45,21:00,2.75,29.6503,-82.323927,SE 1st st and 2nd ave,Gainesville,Florida,29,5,0,,
34,2019-02-01,2019,2,1,19:00,21:00,2,27.771254,-82.636482,"Central Ave Between 2nd & 3rd St, ",St. Petersburg,Florida,41,7,0,0,2
35,2019-02-02,2019,2,2,17:00,21:00,4,33.756183,-84.388248,"Woodruff Park91 Peachtree St NW, Atlanta, Georgia 30303",Atlanta,Georgia,334,11,0,0,0
36,2019-02-09,2019,2,9,18:30,21:00,2.5,27.960599,-82.441367,1600 E 7th Ave,Tampa,Florida ,64,2,0,,2.5
37,2019-02-23,2019,2,23,18:00,21:00,3,28.543443,-81.37069,512 E Washington St,Orlando,Florida,51,1,0.5,,
38,2019-03-08,2019,3,8,18:30,21:00,2.5,27.960599,-82.441367,1600 E 7th Ave,Tampa,Florida ,49,3,0,,
39,2019-03-09,2019,3,9,19:00,21:00,2,28.540821,-81.378954,155 South Orange Avenue,Orlando,Florida,66,2,0.5,,
