reference number,,,,,,,,,,,,,,
N,Affiliation,Event,Date,Time Start,Time End,Total Time,Location,City,State,Venue,Notes,lat,lon,Tally
1,Orlando Animal Save,Slaughterhouse Protest Before Super Cube,2018-09-08,15:00,17:00,2,"2499 Regent St, Orlando, Florida 32804",Orlando,FL,Orlando Live Poultry,,28.577544,-81.409617,
2,Orlando Animal Save,Gatorland Protest,2018-09-09,10:00,12:00,2,14501 S Orange Blossom Trl,Orlando,FL,Gatorland,,28.355971,-81.404368,
3,One Protest,Circus Protest,2018-10-13,12:30,13:30,1,13611 Normandy Blvd,Jacksonville,FL,Garden Bros Circus,,30.240878,-81.903888,
4,One Protest,Circus Protest,2018-10-13,15:30,16:30,1,13611 Normandy Blvd,Jacksonville,FL,Garden Bros Circus,,30.240878,-81.903888,
5,Orlando Animal Save,Slaughterhouse Protest,2018-10-20,9:00,14:00,5,"2499 Regent St, Orlando, Florida 32804",Orlando,FL,Orlando Live Poultry,,28.577544,-81.409617,
6,Knights for Animal Rights,SeaWorld Protest,2018-11-11,9:00,12:00,3,Seaworld,Orlando,FL,Seaworld,,28.411332,-81.461436,
7,Orlando Animal Save,Slaughterhouse,2018-12-16,10:30,12:30,2,"2499 Regent St, Orlando, Florida 32804",Orlando,FL,Orlando Live Poultry,,28.577544,-81.409617,
8,Orlando Animal Save,Slaughterhouse,2018-12-22,10:30,12:30,2,"2499 Regent St, Orlando, Florida 32804",Orlando,FL,Orlando Live Poultry,,28.577544,-81.409617,
9,Direction Action Everywhere,Disruption,2018-12-22,14:00,15:00,1,Florida Mall,Orlando,FL,Florida Mall,,28.444635,-81.395559,
10,PETA,Wool Protest forever 21,2018-12-22,15:00,16:00,1,Florida Mall,Orlando,FL,Florida Mall,,28.444635,-81.395559,
11,Direction Action Everywhere,Vigil,2019-01-07,12:00,14:00,2,Musa Halal Slaughterhouse,Tampa,FL,Musa Halal Slaughterhouse,,28.003535,-82.393246,
12,Fighting Animal Cruelty Together ,Protest,2019-01-16,16:00,19:00,3,Bo Diddly Plaza,Gainesville,FL,Farmer's Market,,29.651422,-82.323455,
13,Fighting Animal Cruelty Together ,Change my mind,2019-01-26,15:00,17:00,2,Turlington Plaza,Gainesville,FL,University of Florida,,29.6491,-82.3437,
14,Fighting Animal Cruelty Together ,Vegan Outreach Workshop,2019-01-23,11:00,12:00,0.5,4000 Central Florida Blvd,Orlando,FL,University of Central Florida,,28.601846,-81.200535,8
15,Direction Action Everywhere,Disruption,2019-02-23,15:30,16:30,1,512 E Washington St,Orlando,FL,Lake Eola,,28.543443,-81.37069,
16,North Florida Veg Events,Gainesville Vegfest,2019-02-16,10:00,17:00,9,Depot Park,Gainesville,FL,Depot Park,,29.644314,-82.322155,
17,SWFL Vegfest,SWFL Vegfest,2019-02-24,10:00,17:00,9,"10450 Reynolds St, Bonita Spring",,FL,Bonita Springs,,26.339976,-81.779439,
18,Fighting Animal Cruelty Together ,Change my mind,2019-02-23,17:00,18:00,1,512 E Washington St,Orlando,FL,Eola Lake,"Eating dogs is moral, Change my mind",28.543443,-81.37069,
19,Fighting Animal Cruelty Together ,Change my mind,2019-02-26,18:00,20:00,2,Turlington Plaza,Gainesville,FL,Turlington Plaza,"Eating dogs is moral, Change my mind",29.6491,-82.3437,
20,Amazing Vegan Outreach,Mastering Vegan Outreach Workshop,2019-03-09,10:00,18:00,8,Student Union,Orlando,FL,Student Union,,28.601846,-81.200535,
21,Amazing Vegan Outreach,Mastering Vegan Outreach Workshop,2019-03-10,11:00,18:00,7,Student Union,Orlando,FL,Student Union,,28.601846,-81.200535,
22,Fighting Animal Cruelty Together ,Change my mind,2019-03-12,17:00,19:00,2,Turlington Plaza,Gainesville,FL,University of Florida,"Eating dogs is moral, Change my mind",29.6491,-82.3437,
23,Fighting Animal Cruelty Together ,Change my mind,2019-03-14,17:30,19:30,2,Turlington Plaza,Gainesville,FL,Turlington Plaza,"Eating dogs is moral, CHange my mind",29.6491,-82.3437,3
24,Fighting Animal Cruelty Together ,Change my mind,2019-03-16,16:30,20:00,3.5,600 N Ashley Dr,Tampa,FL,Curtis Hixon Waterfront Park,,27.949283,-82.460942,15
25,Fighting Animal Cruelty Together ,Change my mind,2019-03-16,20:30,21:00,1,1600 E 7th Ave,Tampa,FL,Ybor,,27.960599,-82.441367,5
26,Fighting Animal Cruelty Together ,Change my mind,2019-03-17,14:30,18:00,2.5,Turlington Plaza,Gainesville,FL,Turlington Plaza,"Eating dogs is moral, Change my mind",29.6491,-82.3437,5
27,Global Youth Climate Strike,Climate Strike,2019-03-15,17:00,19:00,2,City Hall,Gainesville,FL,City Hall,,29.652699,-82.323188,
