Gene,Splice_variant,rep,Day,acid
a,z,1,1,high
a,z,1,7,high
a,z,1,1,low
a,z,1,7,low
a,z,2,1,high
a,z,2,7,high
a,z,2,1,low
a,z,2,7,low
a,z,3,1,high
a,z,3,7,high
a,z,3,1,low
a,z,3,7,low
a,z,4,1,high
a,z,4,7,high
a,z,4,1,low
a,z,4,7,low
a,x,1,1,high
a,x,1,7,high
a,x,1,1,low
a,x,1,7,low
a,x,2,1,high
a,x,2,7,high
a,x,2,1,low
a,x,2,7,low
a,x,3,1,high
a,x,3,7,high
a,x,3,1,low
a,x,3,7,low
a,x,4,1,high
a,x,4,7,high
a,x,4,1,low
a,x,4,7,low
b,t,1,1,high
b,t,1,7,high
b,t,1,1,low
b,t,1,7,low
b,t,2,1,high
b,t,2,7,high
b,t,2,1,low
b,t,2,7,low
b,t,3,1,high
b,t,3,7,high
b,t,3,1,low
b,t,3,7,low
b,t,4,1,high
b,t,4,7,high
b,t,4,1,low
b,t,4,7,low
b,g,1,1,high
b,g,1,7,high
b,g,1,1,low
b,g,1,7,low
b,g,2,1,high
b,g,2,7,high
b,g,2,1,low
b,g,2,7,low
b,g,3,1,high
b,g,3,7,high
b,g,3,1,low
b,g,3,7,low
b,g,4,1,high
b,g,4,7,high
b,g,4,1,low
b,g,4,7,low
