#Metadata,,,,,,,,,,,,,,,,,,,,
"# Name, Affiliation, contact info: Andrew Nguyen, University of Vermont, PhD candidate, email - anbe642@gmail.com",,,,,,,,,,,,,,,,,,,,
# Financial support: National Science Foundation DEB Award # 1136644,,,,,,,,,,,,,,,,,,,,
"#Methods and Data collection: Between 2014-2015, ant colonies within the genus Aphaenogaster  were collected from FL to Maine. We seearched Flat woods and mix hardwood habitats. These ants were allowed to acclimate at 25 C in a common garden experiment and were heat shocked in a slow ramping assay at 0.1C/min. ",,,,,,,,,,,,,,,,,,,,
"# Column explanations: n = numbering each row; Collection.date = date collected the colony; site = location of where colony was collected; state = State for which colony was collected; queen_status= QR is queenright and QL is queenless; lat= latitude in degrees decimals; lon = longitude in degrees decimals; genus= genus of ant; species= species of ant, includes outgroup; rad_seq_species = ddRAD-seq species designations; KO_temp_worker= Knock down temperature of ant, averaged among 4 individuals; colony.id= original names; colony.id2= more standardized names; Alt_names= more standardized labeling(SHC should be Lexington site); mean_ind_weight_mg= average weight of 4 individuals in mgs; habitat = specific habitat type; habitat_v2= simplified habitat type; nest.location = where ant colonies were found(simplified) ; collectors = who collected the colony, ANBE=Andrew Nguyen, KM= Katie Miller, MH= Mike Herrmann, SHC= Sara Helms Cahan, Lloyd Davis, LD= Lloyd Davis; HA= Heather Axen, tree_cover ranges from 0-100 percent got it from https://catalog.data.gov/dataset/nlcd-2011-percent-tree-canopy-cartographic",,,,,,,,,,,,,,,,,,,,
"# Data layout and structure: Long format, Mostly everything is a factor except: lat, lon, KO_temp_worker, mean_ind_weight_mg, n--these are continuous variables",,,,,,,,,,,,,,,,,,,,
n,Collection.date,site,state,queen_satus,location,lat,lon,genus,species,rad_seq_species,colony.id,colony.id2,Alt_names,KO_temp_worker,mean_ind_weight_mg,habitat,habitat_v2,nest.location,collectors,tree_canopy
1,20140520,PopPop,PA,QR,POP,40.363353,-75.151435,Aphaenogaster,picea,rudis,pop1,POP1,POP1,42,1.36875,deciduous forest,deciduous forest,log,ANBE,74
2,20140520,PopPop,PA,QR,POP,40.363353,-75.151435,Aphaenogaster,picea,rudis,pop2,POP2,POP2,41.9,0.96875,deciduous forest,deciduous forest,log,ANBE,74
3,20140520,PopPop,PA,QR,POP,40.363353,-75.151435,Aphaenogaster,rudis,rudis,pop3,POP3,POP3,41.625,0.78375,deciduous forest,deciduous forest,log,ANBE,74
4,20140616,Key Heights,FL,QL,KH,29.810144,-82.009073,Aphaenogaster,floridana,floridana,KH1,KH1,KH1,42.5,1.28875,"open, sandy soil",flat woods,sand,"ANBE, KM, Lloyd Davis",23
5,20140616,Key Heights,FL,QL,KH,29.810144,-82.009073,Aphaenogaster,floridana,floridana,KH2,KH2,KH2,42.375,1.20625,"open, sandy soil",flat woods,sand,"ANBE, KM, Lloyd Davis",23
6,20140616,Key Heights,FL,QR,KH,29.810144,-82.009073,Aphaenogaster,floridana,floridana,KH3,KH3,KH3,43.275,1.065,"open, sandy soil",flat woods,sand,"ANBE, KM, Lloyd Davis",23
7,20140616,Key Heights,FL,QL,KH,29.809627,-82.008941,Aphaenogaster,ashmeadi,ashmeadi,KH4,KH4,KH4,42.825,1.27625,oak forest,flat woods,sand,"ANBE, KM, Lloyd Davis",0
8,20140616,Key Heights,FL,QR,KH,29.809627,-82.008941,Aphaenogaster,ashmeadi,ashmeadi,KH5,KH5,KH5,42.725,1.52375,oak forest,flat woods,sand,"ANBE, KM, Lloyd Davis",0
9,20140616,Key Heights,FL,QR,KH,29.809627,-82.008941,Aphaenogaster,ashmeadi,ashmeadi,KH6,KH6,KH6,42.75,0.8625,oak forest,flat woods,sand,"ANBE, KM, Lloyd Davis",0
10,20140617,longleaf flatwoods reserve,FL,QR,LPR,29.563611,-82.192778,Aphaenogaster,floridana,floridana,LPR1,LPR1,LPR1,42.8,1.06375,flat woods,flat woods,sand,"ANBE, KM, Lloyd Davis",0
