colony,T,18s,hsc70-4_1468_1592_degen,hsp83_279_392_degen,hsp40_541_525degen,FC_hsc70_1468,FC_Hsp83_279,FC_hsp40_541
DUKE8,25,9.9059062,22.63982964,23.99627304,,0.810118122,,1.093914088
DUKE8,26.5,,,23.72918129,,,,1.194819771
DUKE8,28,9.619515896,22.17639446,23.02081871,,0.915891784,,0.902205017
DUKE8,30,9.908995628,22.0681982,23.01752758,,1.20658123,,1.482363951
DUKE8,31.5,9.507101059,21.88125038,23.328969,,1.039563797,,1.491471541
DUKE8,33,9.591553211,21.14679909,23.77443695,,1.833857762,,1.683554727
DUKE8,35,9.567420483,19.5062027,22.55451202,,5.623020886,,3.291382574
DUKE8,36.5,8.584282875,17.73132133,21.23961639,,9.734380451,,7.091153077
DUKE8,38.5,8.66740036,16.91113281,20.97264576,,18.20666995,,10.16992532
DUKE8,40,9.349467073,16.34573364,20.92663479,,43.22700723,,13.95574097
DUKE8,41,7.470310926,15.59361076,,,19.79175695,,
DUKE8,0,9.20736599,21.94451237,23.49496651,,0.80831036,,0.905349887
DUKE8,1,10.20970201,23.32025814,23.97768116,,0.623979914,,1.009718545
TED4,25,7.917774677,23.32810688,28.82442474,30.69783783,0.94507506,0.896240883,1.218211952
TED4,28,8.61779213,23.04777145,27.98919773,30.49157715,3.286954523,,2.283177935
TED4,30,8.520033598,23.44528103,28.89441204,30.5275898,2.359524228,1.296147646,2.080993006
TED4,31.5,8.65667057,22.89277077,28.68628216,30.51494122,2.964232935,1.646037179,2.307863138
TED4,33,7.626470566,21.74131107,27.64346409,29.67172527,4.740541229,1.660496851,2.027319693
TED4,35,7.998077154,20.22549534,27.3273859,28.21536922,13.54889589,2.674556649,7.197701367
TED4,36.5,8.024760485,20.2240696,27.31811237,28.40267467,21.53282237,2.742053312,6.439345799
TED4,38.5,7.756089211,18.8514967,26.73650265,27.51061344,37.28921074,3.406275377,9.919752224
TED4,40,7.721981287,18.710495,26.22630405,27.24152756,71.69328366,6.659202156,16.40820641
TED4,41,8.213044882,18.69157505,26.24478054,27.69491005,46.51780627,6.574462046,11.98338138
TED4,0,7.721981287,22.76826286,27.9388113,30.51390076,1.291768239,1.445710309,1.208241501
TED4,1,7.259272575,22.76597214,30.51548767,30.8817749,0.819122952,0.175847096,0.67939664
POP1,25,9.068614483,23.2004137,29.88812065,22.60259056,0.93668374,0.722222541,1.225728538
POP1,28,9.059949398,23.03215313,28.72456169,22.84078789,0.785114378,1.2067732,0.77513657
POP1,30,9.38338995,22.80170918,28.70803452,23.75737667,1.151631443,1.526197976,0.513413815
POP1,31.5,8.820889473,22.17369556,28.43488026,22.30286598,1.457892914,1.510774602,1.152603869
POP1,33,8.518553019,21.51355839,28.02539253,22.39354229,2.761955616,2.405679358,1.297638623
POP1,35,8.677857876,19.8603344,27.01182842,21.77457142,10.76086729,6.016051019,2.468556838
POP1,36.5,8.865481377,18.98989964,26.50429058,21.29902458,13.4297959,5.838358912,2.343107198
POP1,38.5,8.800536156,18.16071701,26.48353577,20.25312138,34.01633362,8.443992892,6.896831942
POP1,40,9.155366898,17.9010191,26.12357998,20.21569061,30.4987231,8.115637514,5.300718226
POP1,41,9.160213947,17.56371784,25.67286015,20.58403587,41.97725331,12.08362938,4.473488368
POP1,0,9.301898956,23.03080177,28.54175282,22.64752197,1.091013177,1.901721333,1.230402856
POP1,1,8.240859985,22.63702965,29.37613678,22.98867989,0.978536485,0.728084999,0.663068462
Fbragg1,25,10.46191406,29.81732178,20.55477142,,0.887041248,1.326968809,
Fbragg1,28,10.56540346,29.47146797,20.2012167,,1.21118253,1.821565137,
Fbragg1,30,10.5174284,30.0793972,,,0.768710356,,
Fbragg1,31.5,10.49469805,29.34230423,19.95423889,,1.2612678,2.058296726,
Fbragg1,33,10.51491531,27.47652054,,,4.661762742,,
Fbragg1,35,10.46191406,25.86584473,,,13.72324872,,
Fbragg1,36.5,10.46191406,25.3491745,18.62325859,,19.63315842,5.06178873,
Fbragg1,38.5,10.46191406,24.46701431,17.82211685,,36.18652236,8.820063436,
Fbragg1,40,10.42034912,23.46081352,17.74020958,,70.62056268,9.070181139,
Fbragg1,41,10.46191406,23.97129059,18.15185928,,51.02400667,7.017935072,
Fbragg1,0,,28.33159447,,,,,
Fbragg1,1,,28.51638412,21.37104034,,,,
Fbragg5,25,7.265939713,21.11831093,19.63199806,22.18341732,1,1,0.669065676
Fbragg5,28,7.458530426,20.49996376,19.61282921,22.21262264,1.754351558,,0.749294689
Fbragg5,30,7.690378189,21.61017227,20.01768303,22.50779915,0.954341247,1.387416229,0.717114994
Fbragg5,31.5,7.586694717,20.6623497,19.10778236,21.4013319,1.713226897,,1.437000101
Fbragg5,33,7.804737568,20.27158928,19.55417824,21.79603195,2.612660206,1.564850876,1.271386754
Fbragg5,35,7.571719646,18.68463326,18.10613441,20.73167801,6.678192164,3.609675394,2.262219603
Fbragg5,36.5,7.531648159,17.78420067,18.38296318,20.80093765,12.12420887,,2.097117728
Fbragg5,38.5,7.884517193,16.51353264,,19.76579094,37.35827071,3.999549198,5.488544451
Fbragg5,40,7.607284784,15.79910088,17.23176384,18.56872368,50.58210334,7.145374704,10.38377018
Fbragg5,41,7.213418961,15.58083534,17.69356918,18.49022484,44.7853456,6.199937391,8.344880958
Fbragg5,0,7.896080971,,20.04968548,21.81879997,,1.179370816,1.333278665
Fbragg5,1,7.714784622,,20.36998749,21.88768005,,0.833017692,1.121012151
KH3,25,7.950730324,21.17326927,22.39226532,21.53625584,1.093325446,0.953550956,1.313885538
KH3,28,8.305377245,20.46168327,25.24895096,21.61524296,2.289378221,0.16832755,1.590520975
KH3,30,8.665964603,20.88147449,23.27332497,22.08483028,2.197330624,0.85001286,1.474779666
KH3,31.5,8.482680798,20.47817993,22.40976238,21.44933605,2.559323861,1.362102575,2.017697443
KH3,33,8.349857807,19.35699749,21.22861767,21.26018238,5.077513504,2.816995142,2.098037605
KH3,35,8.185540438,17.66060162,20.57304859,20.28618526,14.68428053,3.959748449,3.677487107
KH3,36.5,8.307797909,17.30396461,,19.82841969,20.46511896,,5.497376671
KH3,38.5,8.329243422,16.56085777,20.51806736,19.41055584,34.76701985,4.54440999,7.454195684
KH3,40,7.758401871,16.30508804,19.36682796,18.9637413,46.2329023,11.2415042,6.84013917
KH3,41,7.739213943,15.70976639,19.00383282,18.40918732,41.6634213,8.623646637,9.913481038
KH3,0,7.693284512,20.5795002,21.99758339,21.80269527,1.380361525,1.048711654,0.913802534
KH3,1,,20.78307629,,22.06516647,1.310568703,,0.832894722
LPR4,25,11.91368151,23.76814461,30.63810253,23.39637947,1.08816096,1.029688099,1.668560766
LPR4,28,11.83311319,24.25099277,30.88465977,23.28924751,1.166377996,0.993472945,1.699567749
LPR4,30,11.97492218,23.38057899,29.19215012,23.17950249,1.885245601,2.237716884,2.02331632
LPR4,31.5,11.49749088,23.1654911,29.21945858,23.1845665,1.608455584,1.644320251,1.44816559
LPR4,33,11.07474995,22.31834221,28.66596985,22.326334,2.152012808,1.837709676,1.958457931
LPR4,35,11.4880228,21.29486084,27.63223839,21.75757122,10.11788747,4.586566499,3.868445035
LPR4,36.5,11.46957064,19.90347099,27.47302723,21.3844347,19.69287106,5.3307473,4.946603036
LPR4,38.5,11.46352148,18.3885746,26.62298584,20.57563877,52.28085917,9.9335338,8.628949299
LPR4,40,11.1060071,,,,,,
LPR4,41,11.08246899,18.27329063,25.69190502,19.68886662,71.56730046,14.07243834,12.25165348
LPR4,0,11.26824284,25.07301331,29.36104774,23.33828926,1.559263607,1.694357203,1.110535696
LPR4,1,10.25617218,24.35526276,,,0.589369037,,
Fbragg4,25,11.09037852,,,22.670681,,,1
Fbragg4,33,11.2852459,,,21.84712219,,,1.983095764
Fbragg4,36.5,11.36890674,,,20.91463661,,,2.966394202
Fbragg4,41,10.85984683,,,20.12572861,,,4.252939826
CJ6,25,9.142592907,25.22539234,23.69326687,23.47788811,0.31264214,0.866775201,0.878853134
CJ6,28,9.552391052,25.28232956,24.72581005,23.75968266,0.252135708,0.562913341,0.960393535
CJ6,30,9.066831112,24.85557365,29.60883904,23.43106747,0.266895521,,0.861398577
CJ6,31.5,9.589190006,23.5336895,24.22654915,23.43473244,0.950524659,0.81622828,1.23408928
CJ6,33,9.149632454,23.30862331,24.32728481,22.58641243,0.873653063,0.561263982,1.638310972
CJ6,35,9.300127506,21.04667091,22.01766777,21.63312531,4.19904904,3.088408266,3.521015069
CJ6,36.5,9.176657677,19.32077503,22.16537094,21.57396221,16.48001821,2.55919571,3.367515686
CJ6,38.5,9.32718277,18.73241901,21.99647045,22.10136414,36.82762717,3.193450442,2.593333657
CJ6,40,9.46532011,18.24967003,,21.8964901,40.82585469,,3.289388051
CJ6,41,9.719454288,18.34480381,,,32.94625851,,
CJ6,0,9.144547939,24.54922199,29.89527988,23.75987816,0.6370682,0.011789708,0.723797977
CJ6,1,9.759448528,23.65689182,25.11900616,23.51781654,1.810954737,0.49477555,1.310957745
HW7,25,10.01291561,23.47871017,25.01241779,21.80680847,1.270272548,1.379047055,1.278684792
HW7,28,10.29675114,23.65561199,25.40138435,21.87605476,1.368003372,1.282128315,1.483751932
HW7,30,10.31845856,,,,,,
HW7,31.5,11.0058279,,24.61356544,21.23162842,,3.618611749,3.791458722
HW7,33,10.80675983,,24.42323017,20.75800896,,3.596774044,4.58621633
HW7,35,10.30031824,19.45668316,23.69449806,19.50870228,25.18630743,4.195939991,7.675014592
HW7,36.5,10.06701088,,24.43669891,19.40517807,,,7.014723994
HW7,38.5,9.907608986,18.55866432,24.19874859,19.48928356,35.75014778,,5.925262028
HW7,40,9.216426373,17.57629776,23.16697311,18.60116386,43.74545561,6.741358275,6.791903866
HW7,41,8.934009552,18.05941963,23.55862904,18.87165642,25.73255056,5.138628582,4.629661341
HW7,0,9.369271755,,25.42638683,21.66585922,,0.662530505,0.902479498
HW7,1,9.886497974,,,22.24167824,,,0.866561032
ALA4,25,10.6216135,22.9226923,29.60855293,22.81913567,0.861177387,0.916256633,0.998167855
ALA4,28,10.33528519,22.76467991,29.31151962,22.68410873,0.787890158,0.923080669,0.898788123
ALA4,30,11.27893925,22.88958263,29.91915512,23.76627159,1.389742651,1.165175442,0.816510967
ALA4,31.5,10.48613071,21.79284191,28.63233948,22.55461121,1.715643669,1.640976194,1.09156347
ALA4,33,10.77404928,21.52616215,28.55659771,22.46609497,2.519868196,2.111421551,1.416991224
ALA4,35,11.17270708,20.08246136,28.19137192,21.7289772,9.036141505,3.585310921,3.113649151
ALA4,36.5,10.86562347,19.07549,27.46726704,21.49864769,14.67811312,4.786992384,2.952326535
ALA4,38.5,10.22661066,17.5548315,26.27889824,20.28925514,27.04406839,7.005439163,4.383952085
ALA4,40,10.54324865,17.56272221,26.49287128,20.25445557,33.49764081,7.52212584,5.593183252
ALA4,41,10.43279076,17.97468662,27.06143856,20.75586891,23.32112166,4.698223249,3.659885099
ALA4,0,10.81308031,22.32537746,28.88090038,22.56069565,1.487782864,1.732605258,1.363449413
ALA4,1,10.05042362,22.49343109,29.57795334,,0.780490875,0.629916871,
PB17-14,25,7.934711695,22.65455723,18.12385082,23.6553297,1.013517635,1.243970861,1.236401592
PB17-14,30,7.693385363,22.46415043,18.02319622,23.56039524,0.97836972,1.12840187,1.117097839
PB17-14,35,7.67389822,22.20054722,17.53419209,23.71915627,1.158748705,1.562436929,0.987263695
PB17-14,40,7.793673992,18.93757534,16.09495497,23.13342667,12.08642252,4.603754313,1.609946505
PB17-14,41,7.846597672,18.10189819,15.90470886,22.63630199,22.37655758,5.448958973,2.357178648
PB17-14,43,7.735297203,17.72999763,15.81566906,22.34580517,26.80659909,5.365527311,2.668922588
PB17-14,45,7.886054039,17.34365177,15.85503864,22.21482658,38.897863,5.796199352,3.244492613
PB17-14,46,7.552863359,17.01399422,15.93324661,21.88609028,38.80271963,4.358127989,3.23449057
PB17-14,46.5,8.086670637,17.7138567,16.29140234,22.68823528,34.58394795,4.922393922,2.685518724
PB17-14,47,7.984242201,17.30966663,15.98216534,21.83723259,42.62985645,5.681093642,4.512024924
PB17-14,0,7.919279099,22.6555624,18.71374702,24.24898243,1.002035362,0.817688861,0.810600008
PB17-14,1,8.234539986,22.99606133,18.76320839,24.26451492,0.984658518,0.983109088,0.997777809
PB07023,25,10.28006554,20.10960579,19.38092804,23.83536053,1.535791782,0.854198205,1.064941527
PB07023,30,9.644075394,19.89736557,19.00712013,23.39472294,1.144908822,0.712252426,0.930076741
PB07023,35,11.15229034,20.70757198,19.76699162,23.79674625,1.857344263,1.196486404,2.002237758
PB07023,40,10.95859432,16.94396496,16.67463875,22.18515682,22.05681001,8.922579486,5.349880657
PB07023,41,9.645568848,16.68118382,16.37024403,22.00449181,10.65093308,4.434680278,2.440448404
PB07023,43,9.926607132,15.86782598,15.68834925,21.23281479,22.74226488,8.644383991,5.062540526
PB07023,45,10.60387993,15.84541798,15.67134666,21.69892502,36.93674517,13.98723156,5.860501474
PB07023,46,10.5087564,15.56831503,15.75209093,21.41940308,41.90249535,12.38198527,6.659540016
PB07023,46.5,10.333395,15.63504028,15.7750206,21.25033951,35.42946086,10.79192019,6.630532347
